Образец,береза,дуб,ель,ель_голубая,ива,каштан,клен,клен_ам,липа,лиственница,орех,осина,рябина,сирень,сосна,тополь_бальзамический,тополь_черный,туя,черемуха,ясень
1,0.0000,0.0000,0.0187,0.0000,0.0000,0.0013,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.9179,0.0275,0.0000,0.0000,0.0000,0.0104,0.0000,0.0025
2,0.0000,0.0000,0.0259,0.0000,0.0000,0.0042,0.0000,0.0000,0.0096,0.0183,0.0000,0.0029,0.8524,0.0776,0.0025,0.0000,0.0000,0.0000,0.0000,0.0067
3,0.0000,0.0000,0.0350,0.0000,0.0025,0.0148,0.0000,0.0000,0.0000,0.0243,0.0000,0.0017,0.7999,0.1081,0.0000,0.0000,0.0000,0.0058,0.0000,0.0078
4,0.0000,0.0000,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0308,0.0000,0.0000,0.9629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013
5,0.0000,0.0000,0.0158,0.0000,0.0000,0.0067,0.0000,0.0000,0.0013,0.0375,0.0000,0.0063,0.8378,0.0672,0.0000,0.0054,0.0025,0.0092,0.0000,0.0104
6,0.0000,0.0050,0.0127,0.0000,0.0000,0.0043,0.0000,0.0000,0.0000,0.0343,0.0000,0.0000,0.9223,0.0163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050
7,0.0000,0.0017,0.0150,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0258,0.0017,0.0000,0.9421,0.0000,0.0050,0.0025,0.0000,0.0000,0.0000,0.0029
8,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0929,0.0000,0.0000,0.8842,0.0000,0.0042,0.0000,0.0000,0.0088,0.0000,0.0050
9,0.0000,0.0000,0.0075,0.0000,0.0025,0.0013,0.0000,0.0000,0.0037,0.0283,0.0000,0.0000,0.9392,0.0000,0.0029,0.0013,0.0000,0.0050,0.0000,0.0083
10,0.0000,0.0000,0.0112,0.0000,0.0000,0.0013,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.9300,0.0338,0.0013,0.0025,0.0000,0.0050,0.0000,0.0000
11,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0329,0.0000,0.0000,0.9333,0.0000,0.0000,0.0000,0.0000,0.0275,0.0000,0.0013
12,0.0000,0.0000,0.0179,0.0000,0.0000,0.0013,0.0000,0.0000,0.0000,0.0331,0.0000,0.0000,0.9268,0.0075,0.0017,0.0013,0.0000,0.0080,0.0000,0.0025
13,0.0000,0.0050,0.0492,0.0000,0.0058,0.0108,0.0000,0.0037,0.0166,0.0150,0.0000,0.0350,0.7071,0.1213,0.0037,0.0042,0.0050,0.0042,0.0000,0.0133
14,0.0000,0.0000,0.0071,0.0000,0.0037,0.0138,0.0000,0.0000,0.0013,0.0533,0.0000,0.0000,0.9057,0.0079,0.0000,0.0013,0.0000,0.0010,0.0000,0.0050
15,0.0000,0.0017,0.0092,0.0033,0.0025,0.0000,0.0000,0.0000,0.0017,0.0296,0.0000,0.0000,0.9413,0.0058,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000
16,0.0000,0.0000,0.0187,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0421,0.0000,0.0025,0.8967,0.0275,0.0025,0.0029,0.0000,0.0000,0.0000,0.0042
17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0229,0.0000,0.0000,0.9683,0.0000,0.0000,0.0000,0.0000,0.0088,0.0000,0.0000
18,0.0000,0.0075,0.0251,0.0000,0.0083,0.0063,0.0000,0.0000,0.0086,0.0171,0.0000,0.0517,0.6831,0.1471,0.0000,0.0088,0.0025,0.0025,0.0000,0.0315
19,0.0000,0.0000,0.0322,0.0000,0.0017,0.0134,0.0000,0.0000,0.0050,0.0139,0.0000,0.0168,0.8428,0.0676,0.0000,0.0025,0.0000,0.0025,0.0000,0.0017
20,0.0000,0.0017,0.0379,0.0033,0.0017,0.0000,0.0000,0.0000,0.0013,0.0429,0.0000,0.0050,0.8773,0.0163,0.0075,0.0004,0.0000,0.0017,0.0000,0.0031
21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,0.0000,0.0000,0.0000,0.0160,0.0000,0.0000,0.9703,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025
22,0.0000,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1004,0.0000,0.0000,0.8742,0.0050,0.0000,0.0000,0.0000,0.0179,0.0000,0.0000
23,0.0000,0.0000,0.0125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0335,0.0000,0.0000,0.9315,0.0138,0.0000,0.0000,0.0000,0.0013,0.0000,0.0075
24,0.0000,0.0000,0.0037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0000,0.0000,0.9896,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000
25,0.0000,0.0000,0.0013,0.0000,0.0000,0.0063,0.0000,0.0000,0.0000,0.0385,0.0000,0.0000,0.9498,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0037
26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0323,0.0000,0.0000,0.9598,0.0013,0.0000,0.0000,0.0000,0.0054,0.0000,0.0013
27,0.0000,0.0000,0.0335,0.0000,0.0117,0.0097,0.0000,0.0000,0.0125,0.0958,0.0000,0.0217,0.6799,0.1168,0.0000,0.0075,0.0017,0.0000,0.0000,0.0092
28,0.0000,0.0025,0.0050,0.0000,0.0000,0.0025,0.0000,0.0000,0.0068,0.0663,0.0000,0.0050,0.8739,0.0233,0.0000,0.0050,0.0000,0.0000,0.0000,0.0097
29,0.0000,0.0000,0.0192,0.0000,0.0000,0.0202,0.0000,0.0025,0.0000,0.0455,0.0000,0.0000,0.8852,0.0017,0.0125,0.0000,0.0000,0.0108,0.0000,0.0025
30,0.0000,0.0000,0.0233,0.0000,0.0000,0.0079,0.0000,0.0000,0.0000,0.0279,0.0017,0.0000,0.9233,0.0067,0.0000,0.0000,0.0000,0.0050,0.0000,0.0042
