Шум 0.0%
истина/предск |   береза |      дуб |      ель |     клен |     липа |    осина |    сосна | сумма
береза      |    0.789 |    0.121 |    0.000 |    0.000 |    0.045 |    0.000 |    0.045 | 1.000
дуб         |    0.467 |    0.033 |    0.433 |    0.000 |    0.000 |    0.067 |    0.000 | 1.000
ель         |    0.014 |    0.014 |    0.361 |    0.028 |    0.194 |    0.125 |    0.264 | 1.000
клен        |    0.053 |    0.040 |    0.320 |    0.000 |    0.093 |    0.427 |    0.067 | 1.000
липа        |    0.091 |    0.091 |    0.253 |    0.000 |    0.495 |    0.071 |    0.000 | 1.001
осина       |    0.000 |    0.029 |    0.551 |    0.000 |    0.304 |    0.101 |    0.014 | 0.999
сосна       |    0.057 |    0.000 |    0.229 |    0.114 |    0.086 |    0.000 |    0.514 | 1.000

Шум 1.0%
истина/предск |   береза |      дуб |      ель |     клен |     липа |    осина |    сосна | сумма
береза      |    0.789 |    0.121 |    0.000 |    0.000 |    0.045 |    0.000 |    0.045 | 1.000
дуб         |    0.470 |    0.045 |    0.430 |    0.000 |    0.000 |    0.055 |    0.000 | 1.000
ель         |    0.014 |    0.011 |    0.365 |    0.028 |    0.194 |    0.121 |    0.267 | 1.000
клен        |    0.053 |    0.040 |    0.320 |    0.000 |    0.093 |    0.427 |    0.067 | 1.000
липа        |    0.091 |    0.091 |    0.253 |    0.000 |    0.494 |    0.071 |    0.000 | 1.000
осина       |    0.000 |    0.029 |    0.543 |    0.000 |    0.304 |    0.109 |    0.014 | 0.999
сосна       |    0.057 |    0.000 |    0.229 |    0.114 |    0.086 |    0.000 |    0.514 | 1.000

Шум 5.0%
истина/предск |   береза |      дуб |      ель |     клен |     липа |    осина |    сосна | сумма
береза      |    0.786 |    0.120 |    0.000 |    0.000 |    0.045 |    0.000 |    0.050 | 1.001
дуб         |    0.488 |    0.047 |    0.412 |    0.000 |    0.000 |    0.053 |    0.000 | 1.000
ель         |    0.014 |    0.010 |    0.363 |    0.028 |    0.193 |    0.132 |    0.261 | 1.001
клен        |    0.053 |    0.040 |    0.321 |    0.000 |    0.096 |    0.424 |    0.066 | 1.000
липа        |    0.091 |    0.091 |    0.251 |    0.000 |    0.494 |    0.073 |    0.000 | 1.000
осина       |    0.000 |    0.029 |    0.535 |    0.000 |    0.310 |    0.111 |    0.014 | 0.999
сосна       |    0.057 |    0.000 |    0.227 |    0.116 |    0.095 |    0.000 |    0.505 | 1.000

Шум 10.0%
истина/предск |   береза |      дуб |      ель |     клен |     липа |    осина |    сосна | сумма
береза      |    0.782 |    0.119 |    0.000 |    0.000 |    0.045 |    0.000 |    0.055 | 1.001
дуб         |    0.491 |    0.047 |    0.409 |    0.000 |    0.000 |    0.053 |    0.000 | 1.000
ель         |    0.014 |    0.011 |    0.372 |    0.028 |    0.198 |    0.132 |    0.246 | 1.001
клен        |    0.053 |    0.040 |    0.327 |    0.000 |    0.100 |    0.420 |    0.059 | 0.999
липа        |    0.092 |    0.088 |    0.245 |    0.000 |    0.496 |    0.077 |    0.002 | 1.000
осина       |    0.000 |    0.029 |    0.529 |    0.000 |    0.311 |    0.116 |    0.014 | 0.999
сосна       |    0.057 |    0.000 |    0.222 |    0.127 |    0.110 |    0.000 |    0.484 | 1.000

